Name,Country,Invention,
Charles Wheatstone,United Kingdom,Wheatstone bridge,
Alfred Nobel,Sweden,Dynamite,
Edwin Herbert Hall,United States,Hall effect,
Emile Berliner,Germany,Gramophone,
Frederick Walton,United States,Liquid Paper,
William Congreve,United Kingdom,Congreve rocket,
Fridtjof Nansen,Norway,Polar exploration techniques,
Gustaf Dalén,Sweden,AGA lighthouse,
Evangelista Torricelli,Italy,Barometer,
George Pullman,United States,Pullman sleeping car,
George Devol,United States,"Industrial robot ""Unimate""",
Henri Giffard,France,Steam-powered airship (dirigible),
Marvin Camras,United States,Magnetic tape recording,
Carlos Glidden,United States,Typewriter,
Frederick Walton,United States,Liquid Paper,
Charles Francis Richter,United States,Richter magnitude scale,
Alexander Graham Bell,United States,Telephone,
William Sturgeon,United Kingdom,Electromagnet,
Frederick Walton,United Kingdom,Liquid Paper,
William Sturgeon,United Kingdom,Electromagnet,
Ernesto Blanco,Spain,Electric wheelchair,
Clarence Birdseye,United States,Flash freezing food process,
Gideon Sundback,Sweden/United States,Zipper,
John Shepherd-Barron,Scotland,Automated Teller Machine,
Pierre Curie,France,Piezoelectricity,
Wilhelm Conrad Röntgen,Germany,X-rays discovery,
Benjamin Franklin,United States,Lightning rod,
John Wesley Hyatt,United States,Celluloid (early plastic),
Benjamin Franklin,United States,Lightning rod,
Louis Pasteur,France,Vaccines and pasteurization,
Sir Frank Whittle,United Kingdom,Jet engine,
James Watt,United Kingdom,Steam engine improvements,
Edwin Link,United States,Flight simulator,
Maria Telkes,Hungary/United States,Solar thermal storage system,
Igor Tamm,Russia,Quantum physics contributions,
Chester Carlson,United States,Xerography,
Josephine Cochrane,United States,Automatic dishwasher,
Vint Cerf,United States,Internet protocols,
Ralph H. Baer,United States,Video game console,
Whitcomb Judson,United States,Zipper precursor,
Joseph Glidden,United States,Barbed wire,
Henry Ford,United States,Assembly line manufacturing,
Biruté Galdikas,Canada/Indonesia,Orangutan conservation,
Rudolf Diesel,Germany,Diesel engine,
Charles Wheatstone,United Kingdom,Wheatstone bridge,
John Callcott Horsley,United Kingdom,Christmas card,
Richard Trevithick,United Kingdom,High-pressure steam engine,
